Clave,Nombre,Latitud,Longitud
3188,SAN JAVIER SUR,22.9966666667,-109.8452777778
3189,EL SAUZAL,23.0530555556,-109.915
3190,SAN LAZARO,23.5913888889,-109.6791666667
3191,SAN FRANCISCO DE LA SIERRA,27.5983333333,-113.0319444444
3194,BUENAVISTA SUR,23.9805555556,-110.15
3195,QUEMADO,24.0522222222,-110.2011111111
3196,LA HIGUERILLA,23.8694444444,-110.0708333333
3197,LA PALMILLA,23.7922222222,-109.875
3198,POTRERILLOS,24.6847222222,-110.8444444444
4001,BOLONCHEN,20.0036111111,-89.7475
4002,CALKINI (SMN),20.36,-90.0541666667
4004,CANDELARIA (SMN),18.1844444444,-91.0461111111
4005,CAYO ARCAS,20.2041666667,-91.9622222222
4006,CAYO ARENAS,22.1152777778,-91.3986111111
4007,EL CARMEN (SMN),18.6533333333,-91.7608333333
4008,CHAMPOTON (SMN),19.35,-90.7166666667
4009,DZIBALCHEN,19.4591666667,-89.7380555556
4010,ESCARCEGA (SMN),18.6044444444,-90.7411111111
4011,HECELCHAKAN (DGE),20.1833333333,-90.1333333333
4012,HOOL,19.5125,-90.4108333333
4013,HOPELCHEN,19.7577777778,-89.8430555556
4014,ISLA ARENAS,20.6902777778,-90.4525
4015,ISLA AGUADA,18.7822222222,-91.4944444444
4016,ISLA PEREZ,22.3875,-89.6711111111
4017,ITURBIDE,19.5783333333,-89.6005555556
4018,LA ESPERANZA,18.1666666667,-90.0833333333
4019,NANZAL,18.2638888889,-91.3027777778
4020,MIGUEL HIDALGO,17.9833333333,-90.8333333333
4021,MONCLOVA,18.0566666667,-90.8205555556
4023,NILCHI,19.845,-90.27
4024,PALIZADA,18.2530555556,-92.0919444444
4025,PALMAR DE VISTA ALEGRE,18.1508333333,-92.0163888889
4026,PIXOYAL (DGE),18.9341666667,-90.5988888889
4027,PLACERES,18.1555555556,-89.4227777778
4028,PUSTUNICH,19.1447222222,-90.4794444444
4029,SABANCUY,18.9727777778,-91.1758333333
4030,SAN ISIDRO,18.6316666667,-91.0502777778
4031,SILVITUC,18.6383333333,-90.2983333333
4032,TENABO (SMN),20.0333333333,-90.2333333333
4033,TRIANGULO OESTE,20.9833333333,-92.3038888889
4034,XCUPIL (SMN),19.7166666667,-89.85
4035,XMABEN,19.2347222222,-89.3138888889
4036,XPUGIL,18.5083333333,-89.395
4037,ZOH LAGUNA,18.5922222222,-89.4172222222
4038,CAMPECHE (DGE),19.8422222222,-90.5316666667
4039,CANDELARIA (DGE),18.1827777778,-91.0458333333
4040,EL CARMEN (DGE),18.65,-91.75
4041,CHAMPOTON (DGE),19.3555555556,-90.7233333333
4042,ESCARCEGA (DGE),18.6,-90.7333333333
4043,HECELCHAKAN (SMN),20.1972222222,-90.1222222222
4044,PIXOYAL (SMN),18.9327777778,-90.5986111111
4045,EDZNA I,19.4583333333,-90.1044444444
4046,ALTAMIRA,18.5813888889,-90.2577777778
4047,CASTAMAY,19.8377777778,-90.4305555556
4050,E.T.A. 006 TENABO,20.05,-90.2
4051,E.T.A. 086 CALKINI,20.3666666667,-90.05
4052,CANASAYAB,19.2944444444,-90.5758333333
4053,SANTA CRISTINA,19.8152777778,-90.3811111111
4054,CHICBUL,18.7780555556,-90.9225
4055,CAMPO EXPERIMENTAL EL TORMENTO,18.6,-90.7166666667
4056,MOLINO CHUMPAN,17.9388888889,-91.7361111111
4057,MAMANTEL,18.5247222222,-91.0891666667
4058,NOH YAXCHE,19.6147222222,-90.2166666667
4059,TINUN,19.9613888889,-90.2277777778
4060,XBONIL,18.6355555556,-90.1655555556
4061,CONHUAS,18.5394444444,-89.9222222222
4062,YOHALTUN,19.0166666667,-90.3166666667
4063,EDZNA II,19.5272222222,-90.1877777778
4064,BECAL,20.4263888889,-90.0311111111
4065,NUNKINI,20.3875,-90.1430555556
4066,XCUPIL (DGE),19.6644444444,-89.8591666667
4067,CALKINI (DGE),20.3738888889,-90.0522222222
4068,CHINA,19.6730555556,-90.4736111111
4069,CAMPECHE SUR,19.8166666667,-90.55
4070,DZITBALCHE,20.3213888889,-90.0588888889
4071,POCYAXUN,19.7297222222,-90.3508333333
4072,SIHO CHAC,19.5055555556,-90.5841666667
4073,TENABO (DGE),20.0397222222,-90.2252777778
4075,CANKI,19.9880555556,-90.1177777778
4076,CHUNCHINTOK,19.3594444444,-89.5811111111
4077,SAN JUAN BAUTISTA,19.8738888889,-89.9269444444
4078,CHAC CHEITO,19.0508333333,-90.4069444444
4079,VISTA ALEGRE,18.0433333333,-91.6575
4080,ALVARADO,18.0172222222,-89.27
4081,CRISTOBAL COLON,18.2216666667,-89.4536111111
4082,PABLO T. BURGOS,18.2966666667,-90.6969444444
4083,ENTRE HERMANOS,18.4569444444,-91.1419444444
4084,TIXMUCUY,19.6019444444,-90.2816666667
4085,POMUCH,20.1369444444,-90.1747222222
4086,EL ZAPOTE,18.2163888889,-91.8013888889
4087,POCBOC,20.2369444444,-90.1030555556
8001,ASCENCION (SMN),31.0927777778,-107.9963888889
8002,AVALOS,28.6144444444,-106.0116666667
8003,BABORIGAME (CFE),26.45,-107.1666666667
8004,BACHINIVA,28.7716666667,-107.2555555556
8005,BALLEZA,26.9552777778,-106.3463888889
8006,BANDERAS,30.9980555556,-105.5722222222
8007,BATOPILAS I (DGE),27,-107.75
8008,BAVICORA,29.3708333333,-107.7408333333
8009,BELISARIO DOMINGUEZ,28.1702777778,-106.5063888889
8010,SAN BUENAVENTURA,29.8436111111,-107.4719444444
8011,COLONIA BUFALO (DGE),27.2833333333,-105.1666666667
8012,CAJURICHI (SMN),28.0977777778,-108.1369444444
8013,CAMARGO (CFE),27.6666666667,-105.25
8014,C.A.E. DELICIAS,28.1833333333,-105.4666666667
8015,MADERA CAMPO UNO,29.1519444444,-108.3713888889
8016,MADERA CAMPO DOS,29.6469444444,-108.1925
8017,RANCHO EL VEINTICUATRO,30.4166666667,-106.1333333333
8019,MEOQUI (DGE),28.2716666667,-105.4941666667
8020,CA?ON DEL ALAMO,29.4430555556,-106.8166666667
8021,CARICHI,27.9169444444,-107.0569444444
8022,CEROCAHUI,27.3,-108.05
8023,CORRALES U.G.R.CH.,29.5622222222,-104.3986111111
8025,CAMARGO (SMN),27.6855555556,-105.1713888889
8026,CUAUHTEMOC,28.405,-106.8666666667
8027,DELICIAS (SMN),28.2,-105.4666666667
8028,GUERRERO (SMN),28.5458333333,-107.4841666667
8029,JIMENEZ (SMN),27.1405555556,-104.9136111111
8030,JUAREZ (DGE),31.7394444444,-106.4869444444
8031,OJINAGA (SMN),29.5644444444,-104.4163888889
8032,COLONIA ANAHUAC,28.48,-106.7441666667
8033,COLONIA BUFALO (SMN),27.2994444444,-105.1736111111
8034,COLONIA GARCIA,29.5880555556,-108.3311111111
8035,COLONIA SOTO LA MARINA,29.25,-107.4166666667
8036,CONCHE?O,28.3,-108.2166666667
8037,COYAME (SMN),29.4591666667,-105.2580555556
